manufacturer,model,age,odometer,fuel,transmission,engine_cc,max_power,seats,price,region,type,cylinders,drive
renault,kwid,4,30000,petrol,manual,999,67.0,5,340000,,,,
honda,amaze,5,39993,petrol,manual,1199,88.76,5,465000,,,,
hyundai,santro,12,80000,petrol,manual,1086,62.1,5,125000,,,,
mahindra,xuv500,9,185000,diesel,manual,2179,140.0,7,600000,,,,
maruti,swift dzire,8,90000,diesel,manual,1248,74.0,5,380000,,,,
hyundai,i20,3,15000,diesel,manual,1396,88.73,5,850000,,,,
hyundai,i20,3,40000,petrol,manual,1197,81.83,5,598000,,,,
honda,city,6,31180,petrol,automatic,1497,117.3,5,700000,,,,
maruti,swift dzire,7,56000,diesel,manual,1248,74.0,5,410000,,,,
maruti,baleno,5,52427,petrol,automatic,1197,83.1,5,590000,,,,
mahindra,bolero,1,40000,diesel,manual,1498,74.96,7,850000,,,,
mahindra,kuv100,3,17000,petrol,manual,1198,82.0,5,550000,,,,
maruti,baleno,5,22000,petrol,manual,1590,94.0,5,625000,,,,
maruti,swift dzire,5,54000,petrol,manual,1197,83.14,5,600000,,,,
maruti,wagon r,2,10000,petrol,manual,998,67.04,5,445000,,,,
maruti,ignis,2,20000,petrol,manual,1197,81.8,5,530000,,,,
maruti,wagon r,3,53237,cng,manual,998,58.16,5,410000,,,,
datsun,redigo,3,27263,petrol,manual,999,68.0,5,350000,,,,
hyundai,verna,7,110000,diesel,manual,1582,126.3,5,520000,,,,
hyundai,i20,5,70000,diesel,manual,1396,88.73,5,750000,,,,
maruti,swift dzire,4,70000,diesel,manual,1248,74.0,5,560000,,,,
hyundai,i20,2,39000,petrol,manual,1197,81.83,5,655000,,,,
hyundai,santro,14,56000,petrol,manual,1086,63.0,5,125000,,,,
hyundai,i20,3,34000,petrol,manual,1197,81.83,5,550000,,,,
mahindra,scorpio,4,50000,diesel,manual,1997,120.0,7,1150000,,,,
volkswagen,vento,9,77400,diesel,manual,1598,103.6,5,500000,,,,
mahindra,marazzo,2,36000,diesel,manual,1497,121.0,7,990000,,,,
hyundai,verna,8,47876,diesel,manual,1493,113.42,5,551000,,,,
mahindra,xuv500,3,21500,diesel,automatic,2179,152.87,7,1650000,,,,
hyundai,grand,6,75000,diesel,manual,1120,70.0,5,350000,,,,
ford,aspire,4,58000,petrol,manual,1196,86.8,5,500000,,,,
maruti,swift dzire,3,30000,petrol,manual,1197,81.8,5,575000,,,,
hyundai,grand,3,50000,diesel,manual,1186,73.97,5,545000,,,,
ford,figo,4,19093,petrol,manual,1196,86.8,5,525000,,,,
honda,amaze,7,50000,petrol,manual,1198,86.7,5,400000,,,,
maruti,wagon r,15,37000,petrol,manual,1061,64.0,5,155000,,,,
maruti,swift dzire,5,47000,diesel,manual,1248,74.0,5,545000,,,,
honda,city,8,70000,petrol,manual,1497,116.3,5,545000,,,,
renault,kwid,5,25000,petrol,manual,799,53.3,5,240000,,,,
maruti,vitara,3,26000,diesel,manual,1248,88.5,5,725000,,,,
ford,aspire,4,30000,petrol,manual,1196,86.8,5,480000,,,,
hyundai,i20,8,15000,petrol,manual,1197,82.9,5,375000,,,,
maruti,swift,10,160000,diesel,manual,1248,75.0,5,225000,,,,
tata,tiago,4,32100,petrol,manual,1199,84.0,5,400000,,,,
hyundai,i20,5,22000,petrol,manual,1197,82.9,5,550000,,,,
mahindra,scorpio,5,44000,diesel,manual,2179,120.0,7,1050000,,,,
volkswagen,polo,5,78000,petrol,manual,1198,74.0,5,450000,,,,
mercedes-benz,c-class,9,74352,petrol,automatic,1796,186.0,5,775000,,,,
maruti,wagon r,7,37000,petrol,manual,998,67.04,5,350000,,,,
honda,city,7,69000,diesel,manual,1498,98.6,5,550000,,,,
kia,seltos,2,12120,petrol,manual,1497,113.4,5,1080000,,,,
maruti,baleno,5,52000,petrol,manual,1197,81.8,5,575000,,,,
toyota,innova,5,120000,diesel,manual,2494,100.6,8,950000,,,,
maruti,alto,8,55000,petrol,manual,796,47.3,5,230000,,,,
hyundai,i20,10,160000,diesel,manual,1396,90.0,5,270000,,,,
ford,figo,10,40000,petrol,manual,1196,70.0,5,130000,,,,
maruti,swift dzire,9,46000,petrol,manual,1197,85.8,5,370000,,,,
maruti,baleno,4,25000,petrol,manual,1197,83.1,5,570000,,,,
volkswagen,polo,8,90000,diesel,manual,1199,73.9,5,365000,,,,
hyundai,i20,9,49566,petrol,manual,1197,82.85,5,280000,,,,
hyundai,verna,3,14000,diesel,automatic,1582,126.2,5,1250000,,,,
hyundai,i20,5,11000,petrol,manual,1197,81.83,5,590000,,,,
maruti,celerio,3,5000,petrol,automatic,998,67.04,5,475000,,,,
ford,ecosport,4,55000,diesel,manual,1498,98.96,5,685000,,,,
hyundai,verna,9,65000,diesel,automatic,1582,126.32,5,380000,,,,
renault,kwid,3,22000,petrol,manual,999,67.0,5,330000,,,,
maruti,baleno,3,7671,petrol,manual,1197,81.8,5,650000,,,,
maruti,wagon r,5,66000,petrol,manual,998,67.04,5,325000,,,,
maruti,swift dzire,3,45156,petrol,automatic,1197,81.8,5,640000,,,,
hyundai,venue,2,25000,petrol,manual,998,118.35,5,949000,,,,
hyundai,verna,6,120000,diesel,manual,1582,126.2,5,660000,,,,
maruti,swift,7,28000,petrol,manual,1197,85.0,5,435000,,,,
hyundai,i20,8,55000,diesel,manual,1396,88.76,5,385000,,,,
hyundai,verna,2,14000,diesel,automatic,1582,126.2,5,1250000,,,,
maruti,wagon r,12,98780,petrol,manual,998,67.1,5,155000,,,,
maruti,swift,6,58000,diesel,manual,1248,74.0,5,415000,,,,
maruti,alto,10,30000,petrol,manual,998,67.1,5,251000,,,,
mahindra,scorpio,5,46400,diesel,manual,2179,120.0,7,1150000,,,,
hyundai,i10,7,32111,petrol,manual,1086,68.05,5,310000,,,,
datsun,go,6,35000,petrol,manual,1198,67.0,7,350000,,,,
mahindra,scorpio,4,30000,diesel,manual,1997,120.0,7,1125000,,,,
bmw,5,5,63000,diesel,automatic,2993,261.49,5,2600000,,,,
datsun,go,3,10000,petrol,manual,1198,67.0,7,480000,,,,
maruti,swift dzire,4,25000,diesel,automatic,1248,74.02,5,850000,,,,
hyundai,creta,4,102000,diesel,automatic,1582,126.2,5,1100000,,,,
maruti,swift,3,35000,petrol,manual,1197,81.8,5,575000,,,,
maruti,swift dzire,9,49948,petrol,manual,1298,85.8,5,340000,,,,
ford,ecosport,3,55000,diesel,manual,1498,98.96,5,925000,,,,
hyundai,grand,6,36000,petrol,manual,1197,82.0,5,400000,,,,
honda,city,5,49625,petrol,manual,1497,117.3,5,725000,,,,
maruti,swift dzire,7,35000,diesel,manual,1248,74.0,5,600000,,,,
mahindra,scorpio,8,95000,diesel,manual,2179,120.0,8,550000,,,,
ford,aspire,4,36000,diesel,manual,1498,99.0,5,585000,,,,
maruti,wagon r,2,50000,petrol,manual,998,67.05,5,411000,,,,
maruti,swift dzire,6,26500,petrol,manual,1197,83.14,5,450000,,,,
honda,cr-v,6,80000,petrol,automatic,1997,153.86,5,1290000,,,,
volkswagen,polo,6,46000,petrol,manual,1198,74.0,5,455000,,,,
hyundai,grand,2,9000,petrol,manual,1197,81.86,5,710000,,,,
honda,city,5,53000,petrol,manual,1497,116.3,5,770000,,,,
ford,endeavour,3,11387,diesel,automatic,3198,197.0,7,2900000,,,,
honda,amaze,3,50000,diesel,manual,1498,98.6,5,720000,,,,
mahindra,kuv,5,52000,diesel,manual,1198,77.0,5,375000,,,,
datsun,go,6,35000,petrol,manual,1198,67.0,7,400000,,,,
renault,duster,6,48000,diesel,manual,1461,83.8,5,600000,,,,
honda,jazz,3,18000,petrol,manual,1199,88.7,5,600000,,,,
maruti,wagon r,9,57413,lpg,manual,998,61.7,5,270000,,,,
hyundai,i20,6,30000,petrol,manual,1197,81.83,5,500000,,,,
hyundai,verna,6,55000,diesel,manual,1582,126.2,5,650000,,,,
maruti,swift,3,10000,petrol,automatic,1197,81.8,5,660000,,,,
bmw,3,5,68000,diesel,automatic,1995,190.0,5,2090000,,,,
kia,seltos,1,8000,petrol,manual,1497,113.4,5,1275000,,,,
maruti,swift,6,65000,diesel,manual,1248,74.0,5,495000,,,,
hyundai,grand,5,25000,petrol,manual,1197,82.0,5,475000,,,,
maruti,ciaz,6,70000,petrol,manual,1373,91.1,5,530000,,,,
tata,tiago,5,9500,petrol,manual,1199,84.0,5,530000,,,,
hyundai,verna,6,9100,petrol,manual,1591,121.3,5,650000,,,,
honda,city,11,86000,petrol,manual,1497,118.0,5,335000,,,,
audi,a4,8,78000,diesel,automatic,1968,147.51,5,1290000,,,,
ford,figo,10,60000,diesel,manual,1399,68.0,5,300000,,,,
maruti,wagon r,2,7883,petrol,automatic,1197,81.8,5,550000,,,,
maruti,swift dzire,8,50205,diesel,manual,1248,74.0,5,390000,,,,
mahindra,bolero,13,220000,diesel,manual,2523,63.0,7,260000,,,,
tata,tigor,4,58000,diesel,manual,1047,69.0,5,395000,,,,
mahindra,scorpio,9,170000,diesel,manual,2179,120.0,8,550000,,,,
maruti,swift dzire,3,15000,petrol,manual,1197,81.8,5,650000,,,,
maruti,swift,5,71245,diesel,manual,1248,74.0,5,375000,,,,
kia,seltos,2,7000,petrol,manual,1353,138.0,5,1300000,,,,
maruti,alto,3,20000,petrol,manual,998,67.05,5,360000,,,,
maruti,celerio,1,8700,petrol,manual,998,67.04,5,505000,,,,
maruti,alto,2,25000,petrol,manual,796,47.3,5,310000,,,,
hyundai,i20,6,42000,petrol,manual,1197,81.86,5,545000,,,,
mahindra,bolero,15,120000,diesel,manual,2523,63.0,7,150000,,,,
maruti,baleno,3,50000,petrol,manual,1197,83.1,5,580000,,,,
maruti,wagon r,10,58000,petrol,manual,998,67.1,5,250000,,,,
hyundai,verna,4,36000,petrol,manual,1396,105.5,5,650000,,,,
maruti,ertiga,3,30000,diesel,manual,1248,88.5,7,410000,,,,
ford,ecosport,6,162828,diesel,manual,1498,98.59,5,531000,,,,
ford,ecosport,3,7500,diesel,manual,1498,98.96,5,890000,,,,
tata,safari,5,47227,diesel,manual,2179,138.1,7,775000,,,,
maruti,wagon r,3,52000,cng,manual,998,67.04,5,435000,,,,
ford,figo,9,74000,diesel,manual,1399,68.05,5,185000,,,,
mahindra,bolero,10,47000,diesel,manual,2523,62.1,7,440000,,,,
hyundai,i20,6,50000,petrol,manual,1197,81.83,5,450000,,,,
maruti,baleno,4,100000,petrol,manual,1197,83.1,5,600000,,,,
maruti,celerio,7,35000,petrol,manual,998,67.04,5,320000,,,,
hyundai,i20,5,50000,diesel,manual,1396,88.73,5,700000,,,,
ford,aspire,3,10000,petrol,manual,1196,86.8,5,630000,,,,
maruti,alto,5,10370,petrol,manual,796,47.3,5,320000,,,,
honda,city,8,62000,petrol,manual,1497,116.3,5,465000,,,,
hyundai,i20,5,40000,petrol,manual,1197,81.83,5,550000,,,,
maruti,swift,4,60000,petrol,manual,1197,81.8,5,445000,,,,
tata,safari,8,67231,diesel,manual,2179,138.1,7,705000,,,,
maruti,wagon r,8,64000,cng,manual,998,67.04,5,270000,,,,
honda,city,7,63000,diesel,manual,1498,98.6,5,475000,,,,
toyota,fortuner,6,80000,diesel,manual,2982,168.5,7,1755000,,,,
honda,city,10,55000,petrol,manual,1497,100.0,5,350000,,,,
hyundai,i20,5,11000,petrol,manual,1197,81.83,5,575000,,,,
renault,kwid,4,17000,petrol,manual,999,67.0,5,360000,,,,
maruti,alto,4,25000,petrol,manual,796,47.3,5,275000,,,,
datsun,go,5,33350,petrol,manual,1198,67.0,7,320000,,,,
hyundai,grand,6,62000,petrol,manual,1197,82.0,5,370000,,,,
maruti,swift dzire,12,59000,petrol,manual,1298,85.8,5,275000,,,,
honda,city,7,86113,petrol,manual,1497,117.3,5,550000,,,,
maruti,swift dzire,3,10000,diesel,manual,1248,74.02,5,750000,,,,
maruti,wagon r,6,92537,petrol,manual,998,67.04,5,272000,,,,
maruti,ciaz,2,27645,diesel,manual,1248,88.5,5,951000,,,,
maruti,alto,8,46242,petrol,manual,998,67.1,5,280000,,,,
renault,kwid,1,6000,petrol,manual,799,53.26,5,450000,,,,
hyundai,i20,4,64000,petrol,manual,1197,81.83,5,480000,,,,
mahindra,scorpio,4,93000,diesel,manual,1997,120.0,7,1060000,,,,
maruti,alto,8,26200,petrol,manual,796,47.3,5,235000,,,,
maruti,baleno,4,25000,petrol,manual,1197,83.1,5,590000,,,,
toyota,fortuner,3,50000,diesel,automatic,2755,174.5,7,2950000,,,,
hyundai,santro,13,80000,petrol,manual,1086,62.1,5,110000,,,,
mahindra,scorpio,14,110000,diesel,manual,2179,115.0,5,280000,,,,
audi,a4,5,55000,petrol,automatic,1395,147.51,5,1851000,,,,
honda,city,3,25000,petrol,manual,1497,117.3,5,750000,,,,
hyundai,grand,6,36000,petrol,manual,1197,81.86,5,400000,,,,
maruti,swift dzire,6,40000,diesel,manual,1248,74.0,5,530000,,,,
mahindra,thar,3,25000,diesel,manual,2498,105.0,6,870000,,,,
renault,kwid,3,30038,petrol,manual,799,53.3,5,295000,,,,
tata,tiago,4,53000,diesel,manual,1047,69.0,5,370000,,,,
maruti,swift,3,5000,petrol,manual,1197,81.8,5,530000,,,,
renault,kwid,4,35000,petrol,automatic,999,67.0,5,350000,,,,
ford,ecosport,8,62000,diesel,manual,1498,89.84,5,470000,,,,
ford,aspire,6,42000,diesel,manual,1498,99.0,5,390000,,,,
mahindra,scorpio,6,80000,diesel,manual,2179,120.0,7,920000,,,,
mahindra,xuv500,8,60000,diesel,manual,2179,140.0,7,550000,,,,
hyundai,verna,7,45000,diesel,manual,1582,126.32,5,635000,,,,
mahindra,xuv500,4,50000,diesel,automatic,2179,140.0,7,1250000,,,,
maruti,alto,3,12000,petrol,manual,796,47.3,5,300000,,,,
honda,city,3,12000,petrol,automatic,1497,117.6,5,960000,,,,
maruti,vitara,3,15000,diesel,manual,1248,88.5,5,750000,,,,
volkswagen,polo,10,63000,petrol,manual,1198,73.9,5,249000,,,,
tata,hexa,3,30000,diesel,manual,2179,153.86,7,1400000,,,,
ford,figo,10,160800,diesel,manual,1399,68.0,5,250000,,,,
hyundai,verna,7,120000,diesel,manual,1582,126.32,5,610000,,,,
ford,ecosport,5,78247,diesel,manual,1498,98.96,5,545000,,,,
hyundai,verna,8,113000,diesel,manual,1582,126.3,5,480000,,,,
hyundai,i20,7,52000,petrol,manual,1197,81.83,5,395000,,,,
toyota,innova,9,109000,diesel,manual,2494,100.6,7,495000,,,,
hyundai,grand,4,90000,petrol,manual,1197,82.0,5,470000,,,,
volkswagen,polo,10,98000,diesel,manual,1199,73.9,5,200000,,,,
hyundai,i20,5,20000,diesel,manual,1396,88.73,5,699000,,,,
maruti,wagon r,7,21717,petrol,manual,998,67.04,5,340000,,,,
renault,duster,7,40000,diesel,manual,1461,83.8,5,500000,,,,
honda,city,4,50000,petrol,manual,1497,117.6,5,1050000,,,,
renault,duster,5,90000,diesel,manual,1461,108.45,5,600000,,,,
maruti,swift,4,27876,petrol,manual,1197,81.8,5,491000,,,,
land rover,rover,5,56000,petrol,automatic,1999,177.0,5,2890000,,,,
hyundai,i10,13,57215,petrol,manual,1197,78.9,5,160000,,,,
hyundai,venue,2,5400,petrol,manual,998,118.35,5,985000,,,,
maruti,swift dzire,7,60000,diesel,manual,1248,74.0,5,500000,,,,
tata,tiago,4,24800,petrol,manual,1199,84.0,5,335000,,,,
maruti,alto,16,70000,petrol,manual,796,46.3,5,85000,,,,
honda,jazz,3,20000,petrol,automatic,1199,88.51,5,740000,,,,
maruti,swift,8,34553,petrol,manual,1197,81.8,5,375000,,,,
maruti,vitara,3,40000,diesel,manual,1248,88.5,5,810000,,,,
volkswagen,polo,11,350000,petrol,manual,1198,73.9,5,173000,,,,
maruti,vitara,4,50000,diesel,manual,1248,88.5,5,700000,,,,
mahindra,kuv,5,70000,diesel,manual,1198,77.0,6,310000,,,,
mahindra,scorpio,4,120000,diesel,manual,1997,120.0,7,850000,,,,
hyundai,i20,8,90000,diesel,manual,1396,88.76,5,285000,,,,
maruti,swift dzire,7,120000,diesel,manual,1248,74.0,5,450000,,,,
hyundai,creta,4,80000,diesel,manual,1582,126.2,5,1100000,,,,
mahindra,scorpio,4,30000,diesel,manual,1997,120.0,7,1080000,,,,
honda,city,7,66100,diesel,manual,1498,98.6,5,530000,,,,
maruti,swift dzire,4,50000,diesel,manual,1248,74.02,5,680000,,,,
mahindra,scorpio,4,42000,diesel,manual,1997,120.0,7,1025000,,,,
hyundai,i20,4,55000,petrol,manual,1197,81.83,5,650000,,,,
hyundai,i10,9,110699,petrol,manual,1197,78.9,5,194000,,,,
maruti,baleno,2,5000,petrol,automatic,1197,83.1,5,686000,,,,
maruti,alto,5,50000,petrol,manual,796,47.3,5,200000,,,,
maruti,swift dzire,11,44000,petrol,manual,1197,85.8,5,250000,,,,
maruti,vitara,3,90000,diesel,manual,1248,88.5,5,730000,,,,
hyundai,verna,5,55000,petrol,manual,1591,121.3,5,650000,,,,
maruti,vitara,4,45000,diesel,manual,1248,88.5,5,790000,,,,
maruti,baleno,4,30000,petrol,manual,1197,83.1,5,620000,,,,
hyundai,verna,8,50000,petrol,manual,1591,121.3,5,510000,,,,
maruti,eeco,8,20000,petrol,manual,1196,73.0,5,375000,,,,
maruti,swift dzire,4,19843,petrol,automatic,1197,81.8,5,620000,,,,
ford,endeavour,10,30000,diesel,automatic,2953,153.86,7,950000,,,,
toyota,innova,4,52300,diesel,manual,2393,147.51,7,1450000,,,,
honda,city,5,40000,petrol,automatic,1497,117.3,5,845000,,,,
maruti,swift dzire,7,61500,diesel,manual,1248,74.0,5,390000,,,,
honda,amaze,6,59000,petrol,manual,1198,86.7,5,395000,,,,
hyundai,grand,3,40000,petrol,manual,1197,81.86,5,450000,,,,
audi,a6,8,60000,diesel,automatic,1968,174.33,5,1700000,,,,
hyundai,grand,8,61000,petrol,manual,1197,82.0,5,325000,,,,
mahindra,kuv,5,70000,diesel,manual,1198,77.0,6,350000,,,,
mahindra,xuv500,8,63000,diesel,manual,2179,140.0,7,650000,,,,
mercedes-benz,e-class,9,58000,petrol,manual,1796,185.0,5,1250000,,,,
maruti,swift dzire,4,22000,diesel,manual,1248,74.02,5,750000,,,,
honda,city,11,57977,petrol,manual,1497,118.0,5,299000,,,,
land rover,rover,3,13000,petrol,automatic,1997,237.36,4,7000000,,,,
mini,cooper,9,67000,petrol,automatic,1998,189.08,4,1325000,,,,
maruti,ertiga,7,48242,diesel,manual,1248,88.76,7,524000,,,,
ford,figo,9,68000,diesel,manual,1399,68.05,5,169000,,,,
maruti,ertiga,7,40000,diesel,manual,1248,88.8,7,500000,,,,
audi,q7,9,98000,diesel,automatic,2967,241.4,7,2000000,,,,
maruti,swift dzire,8,113450,diesel,manual,1248,74.0,5,380000,,,,
maruti,wagon r,3,80000,petrol,automatic,998,67.0,5,400000,,,,
hyundai,santro,1,1000,petrol,automatic,1086,68.0,5,565000,,,,
maruti,wagon r,6,20292,petrol,manual,998,67.04,5,335000,,,,
mahindra,scorpio,11,67900,diesel,manual,2179,120.0,7,300000,,,,
mahindra,scorpio,6,40000,diesel,manual,1997,120.0,7,1051000,,,,
hyundai,grand,4,60000,diesel,manual,1186,73.97,5,510000,,,,
renault,kwid,3,25000,petrol,automatic,999,67.0,5,370000,,,,
maruti,wagon r,15,70000,petrol,manual,998,67.1,5,200000,,,,
maruti,baleno,3,21000,diesel,manual,1248,74.0,5,625000,,,,
mahindra,scorpio,3,39000,diesel,manual,2179,140.0,7,1290000,,,,
hyundai,creta,4,30000,petrol,manual,1591,121.3,5,890000,,,,
hyundai,verna,9,61000,diesel,manual,1582,126.3,5,420000,,,,
maruti,swift,4,5743,petrol,manual,1197,83.11,5,500000,,,,
hyundai,grand,3,24200,petrol,manual,1197,81.86,5,600000,,,,
maruti,baleno,4,57000,diesel,manual,1248,74.0,5,590000,,,,
hyundai,i10,10,58000,petrol,manual,1197,78.9,5,190000,,,,
datsun,go,4,15000,petrol,manual,1198,67.0,7,500000,,,,
maruti,celerio,4,10000,petrol,manual,998,67.04,5,450000,,,,
mahindra,xuv500,6,100000,diesel,manual,2179,140.0,7,650000,,,,
bmw,z4,1,2000,petrol,automatic,2998,335.0,2,8250000,,,,
maruti,wagon r,1,10000,petrol,manual,1197,81.8,5,500000,,,,
maruti,alto,12,43000,petrol,manual,796,46.3,5,140000,,,,
honda,amaze,8,64000,cng,manual,1198,86.7,5,349000,,,,
maruti,wagon r,7,30000,petrol,manual,998,67.06,5,325000,,,,
honda,city,7,63000,petrol,manual,1497,117.3,5,435000,,,,
maruti,celerio,3,28000,cng,manual,998,58.33,5,455000,,,,
land rover,rover,3,25000,petrol,automatic,2995,335.25,7,6200000,,,,
honda,city,4,32226,petrol,manual,1497,117.3,5,755000,,,,
maruti,alto,7,65000,petrol,manual,998,67.05,5,245000,,,,
kia,seltos,2,14000,diesel,manual,1493,113.4,5,1350000,,,,
renault,kwid,3,15000,petrol,automatic,999,67.0,5,310000,,,,
bmw,6,3,30000,petrol,automatic,1998,254.7,4,5500000,,,,
maruti,swift dzire,3,32000,diesel,manual,1248,73.9,5,675000,,,,
maruti,wagon r,2,30000,petrol,manual,1197,81.8,5,500000,,,,
hyundai,i10,11,25000,petrol,manual,1197,78.9,5,300000,,,,
mahindra,scorpio,5,35000,diesel,automatic,2179,120.0,7,1450000,,,,
mahindra,scorpio,8,140000,diesel,manual,2179,120.0,8,530000,,,,
ford,ecosport,7,65597,diesel,manual,1498,89.84,5,575000,,,,
hyundai,i20,4,35000,petrol,manual,1197,81.83,5,550000,,,,
maruti,ciaz,7,160000,diesel,manual,1248,88.5,5,500000,,,,
maruti,baleno,1,7124,petrol,manual,1197,81.8,5,643000,,,,
ford,ecosport,2,15000,petrol,manual,999,123.24,5,1000000,,,,
hyundai,grand,5,34000,petrol,manual,1197,82.0,5,550000,,,,
volkswagen,vento,10,280000,diesel,manual,1598,103.6,5,300000,,,,
tata,tigor,3,40000,petrol,manual,1199,84.0,5,470000,,,,
honda,city,7,77000,diesel,manual,1498,98.6,5,525000,,,,
datsun,go,4,15000,petrol,manual,1198,67.0,7,469000,,,,
maruti,alto,9,60000,petrol,manual,998,67.1,5,210000,,,,
maruti,alto,8,120000,petrol,manual,796,47.3,5,200000,,,,
renault,kwid,2,2500,petrol,manual,999,67.0,5,400000,,,,
jaguar,xf,8,50000,diesel,automatic,2179,187.7,5,2150000,,,,
maruti,celerio,5,46500,petrol,manual,998,67.04,5,340000,,,,
maruti,alto,16,5000,petrol,manual,796,46.3,5,95000,,,,
maruti,swift,9,68000,diesel,manual,1248,74.0,5,381000,,,,
mercedes-benz,c-class,10,45000,diesel,automatic,2143,204.0,5,775000,,,,
maruti,swift dzire,4,20000,diesel,manual,1248,74.02,5,700000,,,,
maruti,ciaz,4,106000,diesel,manual,1248,88.5,5,675000,,,,
honda,city,6,28000,petrol,automatic,1497,117.3,5,670000,,,,
mahindra,xuv500,3,50000,diesel,manual,2179,140.0,7,1050000,,,,
bmw,x5,2,19000,diesel,automatic,2993,265.0,5,7900000,,,,
honda,city,10,55000,petrol,manual,1497,118.0,5,360000,,,,
ford,figo,4,53000,diesel,manual,1498,99.0,5,400000,,,,
hyundai,verna,7,89000,diesel,manual,1582,126.32,5,470000,,,,
maruti,alto,3,22000,petrol,manual,796,47.3,5,304000,,,,
honda,city,7,69000,diesel,manual,1498,98.6,5,490000,,,,
mahindra,scorpio,5,155000,diesel,manual,1997,120.0,7,864000,,,,
mahindra,xuv500,8,85000,diesel,manual,2179,140.0,7,480000,,,,
maruti,wagon r,2,3600,petrol,automatic,1197,81.8,5,575000,,,,
toyota,innova,6,143000,diesel,manual,2494,100.0,7,780000,,,,
audi,a6,3,24000,diesel,automatic,1968,174.33,5,3490000,,,,
mg,hector,2,28000,diesel,manual,1956,167.68,5,1699000,,,,
maruti,swift,2,44000,diesel,manual,1248,74.0,5,800000,,,,
maruti,baleno,3,10000,petrol,automatic,1197,83.1,5,680000,,,,
toyota,fortuner,11,200000,diesel,manual,2982,171.0,7,1200000,,,,
toyota,innova,9,187031,diesel,manual,2494,100.0,8,525000,,,,
ford,ecosport,2,22346,petrol,manual,1497,121.36,5,955000,,,,
hyundai,i20,9,120000,diesel,manual,1396,90.0,5,350000,,,,
maruti,vitara,1,1000,petrol,manual,1462,103.26,5,800000,,,,
maruti,alto,16,56700,petrol,manual,796,46.3,5,75000,,,,
mahindra,xuv500,6,170000,diesel,manual,2179,140.0,7,825000,,,,
mahindra,marazzo,2,60000,diesel,manual,1497,121.0,8,1476000,,,,
honda,jazz,3,40000,petrol,automatic,1199,88.7,5,670000,,,,
maruti,alto,9,28000,petrol,manual,796,46.3,5,180000,,,,
hyundai,grand,4,35000,petrol,manual,1197,81.86,5,490000,,,,
maruti,baleno,4,20000,petrol,manual,1197,83.1,5,550000,,,,
hyundai,i10,7,40000,petrol,manual,1197,78.9,5,350000,,,,
toyota,innova,2,35000,diesel,manual,2393,147.8,8,1500000,,,,
ford,figo,9,74000,diesel,manual,1399,68.05,5,190000,,,,
renault,duster,7,46500,diesel,manual,1461,83.8,5,460000,,,,
maruti,swift,2,8000,petrol,automatic,1197,81.8,5,650000,,,,
maruti,ciaz,5,120000,diesel,manual,1248,88.5,5,700000,,,,
maruti,swift,4,34000,petrol,manual,1197,81.8,5,455000,,,,
maruti,swift,7,54000,petrol,manual,1197,81.8,5,365000,,,,
maruti,swift dzire,7,11275,petrol,manual,1197,85.8,5,470000,,,,
